,home_elo,away_elo,spread,h_drives,h_d_explosiveness,h_d_successrate,h_d_stuffrate,h_d_totalPPA,h_o_explosiveness,h_o_successrate,h_o_stuffrate,h_o_totalPPA,home_team_cover_spread,home_conference_ACC,home_conference_American Athletic,home_conference_Big 12,home_conference_Big Ten,home_conference_Conference USA,home_conference_FBS Independents,home_conference_Mid-American,home_conference_Mountain West,home_conference_Pac-12,home_conference_SEC,home_conference_Sun Belt,away_conference_ACC,away_conference_American Athletic,away_conference_Big 12,away_conference_Big Ten,away_conference_Conference USA,away_conference_FBS Independents,away_conference_Mid-American,away_conference_Mountain West,away_conference_Pac-12,away_conference_SEC,away_conference_Sun Belt,neutral_site_False,neutral_site_True,week
118,0.375576037,0.389256806,0.581395349,0.272727273,0.342128796,0.671932168,0.275,0.742943731,0.439941114,0.504558066,0.333333333,0.454976595,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3
119,0.64516129,0.194260486,0.174418605,0.636363636,0.176258079,0.361813662,0.434210526,0.395273491,0.381760622,0.761058865,0.181818182,0.588433938,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
120,0.558371736,0.279617366,0.511627907,0.272727273,0.491976308,0.5424914,0.426356589,0.741133295,0.209904831,0.630906769,0.166666667,0.475291703,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3
121,0.910138249,0.195732156,0.034883721,0.636363636,0.151653062,0.26459144,0.314285714,0,0.295851643,0.726775956,0.473684211,0.320402871,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
122,0.549923195,0.308314937,0.412790698,0.363636364,0.463100081,0.229925716,0.611111111,0.268052459,0.562567723,0.554927454,0.434782609,0.530297413,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
123,0.599078341,0.529065489,0.406976744,0.636363636,0.465422287,0.491466219,0.268292683,0.469290325,0.358435868,0.344572158,0.275862069,0.34636602,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
124,0.229646697,0.517292127,0.808139535,0.363636364,0.441401556,0.31614786,0.187473118,0.481395325,0.15397644,0.500549704,0.197324415,0.245755187,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
125,0.496927803,0.546725533,0.645348837,0.454545455,0.415799171,0.29383154,0.641666667,0.229936467,0.302697931,0.540229885,0.176470588,0.448214092,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3
126,0.440860215,0.203826343,0.38372093,0.363636364,0.271147441,0.710732404,0.523809524,0.473914586,0.385693865,0.655172414,0.226415094,0.555407546,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3
127,0.671274962,0.099337748,0.058139535,0.454545455,0.174591805,0.465516269,0.385964912,0.465773584,0.440691715,0.864335438,0.133333333,0.870156464,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3
128,0.568356375,0.488594555,0.488372093,0.454545455,0.43574647,0.354085603,0.47826087,0.417441479,0.35970794,0.39171684,0.5,0.28415173,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3
129,0.821044547,0.53200883,0.25,0.454545455,0.755804037,0.287212293,0.286458333,0.488426835,0.450026716,0.887385421,0.088888889,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3
130,0.460829493,0.27593819,0.441860465,0.363636364,0.436300955,0.581712062,0.401041667,0.71155598,0.437973347,0.666819923,0.47826087,0.597240365,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
131,0.458525346,0.498896247,0.697674419,0.363636364,0.45461038,0.660249846,0.225146199,1,0.283206235,0.451340996,0.344827586,0.341435666,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3
132,0.569124424,0.523178808,0.331395349,0.454545455,0.122881863,0.245793829,0.47008547,0.246646934,0.399833835,0.411720369,0.451612903,0.306281074,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
133,0.542242704,0.586460633,0.581395349,0.545454545,0.362336028,0.343436412,0.141025641,0.234078369,0.101551355,0.726775956,0.111111111,0.509452161,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3
134,0.521505376,0.274466519,0.337209302,0.181818182,0.441321677,0.585705509,0.076388889,0.645256708,0.357451317,0.515402299,0.266666667,0.294904108,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3
